ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
182;01/01/2025;0;779813465933;779813465933 - INVITACION COMUNION CALIZ CON MANDALA x10u.GM;377,66;1
183;01/01/2025;0;820155701273;820155701273 - INFLADOR PARA GLOBO DOBLE ACCION COLOR FLUO x1 R273;1734,52;1
184;01/01/2025;0;779834463344;779834463344 - HILO SISAL CLASICO NATURAL 2mm 20mt x10u 344 TODOTEX;5263,76;10
185;23/10/2025;1;000000003025;000000003025 - HILO BARRILETE BLANCOx10;1417,05;10
186;01/01/2025;0;000003000335;000003000335 - HACHA INDIO STASIO x1 HH0010;1316,74;1
187;01/01/2025;0;000003000336;000003000336 - HACHA INDIO CON SANGRE STASIO x1 HH0010-S;1861,99;1
188;23/10/2025;1;779824510015;779824510015 - GRANA DECORMAGIC AZUL  x1kg;2387,66;10
189;01/01/2025;0;000000003893;000000003893 - GORRO ZORRO ECONOMICOx12 (GZ);6453,09;12
190;01/01/2025;0;000000004120;000000004120 - GORRO FUNYI PLASTICO NEGROx12  (SF03);3433,56;12
191;01/01/2025;0;000000006247;000000006247 - GORRO EGRESADO PLASTICOx12 (LP02);7214,76;12
192;01/01/2025;0;779813337055;779813337055 - GORRO COYA PLASTICO COLOR x12 N-41;14262,42;12
193;01/01/2025;0;000000000134;000000000134 - GORRO COYA PAÑO CROSTI x4 26;7087,5;4
194;01/01/2025;0;779813337339;779813337339 - GORRO COWBOY PLASTICO MARRON x6;8178,94;6
195;23/10/2025;1;803410700610;803410700610 - GORRO COWBOY GAMUZA ESTRELLA CON LENTEJUELAS x1 YJ0737;4252,5;1
196;01/01/2025;0;693831816702;693831816702 - ;;
197;01/01/2025;0;000000003195;000000003195 - GORRO CARIOCA ECONOMICOx25 (SRE3-SBE3);5207,44;25
198;23/10/2025;1;000000058192;000000058192 - GORRO BRUJA TELA DE ARAÑA Y FLOR x1 FP380 CA;2904,9;1
199;23/10/2025;2;000000058193;000000058193 - GORRO BRUJA ROJO TULL Y HEBILLA x1 FP385-01 CA;3218,21;1
200;01/01/2025;0;000000007141;000000007141 - GORRO BRUJA PLASTICO NEGRO x6u. LH11;2270,52;6
201;23/10/2025;2;237187601272;237187601272 - GORRO BRUJA NEGRO LISO PLASTICO x6 1272;2707,02;6
202;23/10/2025;1;000000058191;000000058191 - GORRO BRUJA CON PELO x1 DC090 CA;2430,6;1
203;01/01/2025;0;779905100995;779905100995 - GORRO BICORNIO SAN MARTIN x10 GM;4590;10
204;01/01/2025;0;772098811240;772098811240 - ;;
205;01/01/2025;0;720155174891;720155174891 - GORRA ARGENTINA LENTEJUELA BLANCA VISERA CELESTE x1 MZ17489/1;2992,02;1
206;23/10/2025;1;779812669714;779812669714 - GOMITAS GOLOMIX RODAJAS FRUTALES x800gr;3892,32;8
207;01/01/2025;0;000030710000;000030710000 - GOMA EVA PICADA MULTICOLOR FRACCIONADA 30x100grs 1100;8100;30
208;01/01/2025;0;779819415525;"779819415525 - GLOBO PARTY TIME LISO 9"" VERDE OSCURO x50 55257";2574,63;50
209;01/01/2025;0;779819415518;"779819415518 - GLOBO PARTY TIME LISO 9"" VERDE MANZANA x50 55189";2574,63;50
210;01/01/2025;0;779819415516;"779819415516 - GLOBO PARTY TIME LISO 9"" ROSA  x50  55165";2574,63;50
